"ONT_Barcode"	"HW_Address"	"Payload1"	"Payload2"	"Payload3"	"Payload4"	"Payload5"	"Payload6"	"Payload7"	"Payload8"
3	"barcode_external01_internal01"	"[2, 3, 4, 5]"	"[1, 2, 7, 8]"	"[1, 4, 5, 6]"	"[4, 6, 7, 8]"	"[2, 5, 7, 8]"	"[3, 5, 6, 8]"	"[1, 3, 5, 7]"	"[1, 5, 6, 7]"
3	"barcode_external02_internal01"	"[3, 4, 7, 8]"	"[2, 3, 4, 8]"	"[2, 4, 6, 7]"	"[1, 6, 7, 8]"	"[1, 2, 5, 8]"	"[1, 2, 7, 8]"	"[1, 5, 6, 8]"	"[1, 5, 6, 7]"
3	"barcode_external03_internal01"	"[1, 3, 5, 8]"	"[2, 4, 5, 6]"	"[1, 5, 6, 8]"	"[1, 2, 4, 6]"	"[2, 5, 6, 8]"	"[2, 4, 7, 8]"	"[1, 4, 5, 7]"	"[2, 5, 7, 8]"
3	"barcode_external04_internal01"	"[1, 4, 5, 8]"	"[3, 4, 7, 8]"	"[1, 4, 7, 8]"	"[1, 4, 7, 8]"	"[1, 5, 6, 7]"	"[1, 2, 4, 7]"	"[1, 2, 3, 4]"	"[2, 4, 6, 7]"
3	"barcode_external05_internal01"	"[2, 4, 5, 6]"	"[3, 4, 6, 7]"	"[4, 5, 6, 8]"	"[1, 4, 5, 8]"	"[4, 5, 6, 8]"	"[1, 2, 4, 6]"	"[2, 4, 7, 8]"	"[4, 5, 7, 8]"
3	"barcode_external06_internal01"	"[2, 4, 5, 7]"	"[1, 3, 4, 6]"	"[1, 3, 6, 7]"	"[2, 4, 6, 7]"	"[1, 3, 4, 5]"	"[2, 3, 4, 5]"	"[1, 2, 5, 8]"	"[1, 4, 6, 7]"
3	"barcode_external07_internal01"	"[4, 5, 6, 7]"	"[1, 4, 6, 7]"	"[2, 4, 5, 8]"	"[1, 4, 7, 8]"	"[1, 3, 5, 8]"	"[3, 6, 7, 8]"	"[2, 3, 5, 8]"	"[1, 4, 5, 6]"
3	"barcode_external08_internal01"	"[1, 3, 5, 7]"	"[1, 2, 4, 6]"	"[1, 4, 5, 8]"	"[1, 3, 4, 6]"	"[1, 3, 7, 8]"	"[4, 6, 7, 8]"	"[2, 3, 7, 8]"	"[1, 2, 6, 7]"
3	"barcode_external01_internal02"	"[2, 3, 4, 6]"	"[2, 3, 5, 8]"	"[1, 2, 3, 8]"	"[1, 2, 3, 6]"	"[3, 4, 6, 8]"	"[1, 4, 5, 8]"	"[1, 2, 4, 8]"	"[4, 5, 7, 8]"
3	"barcode_external02_internal02"	"[2, 3, 4, 7]"	"[1, 3, 4, 5]"	"[2, 5, 7, 8]"	"[1, 4, 5, 7]"	"[1, 2, 3, 7]"	"[1, 2, 3, 8]"	"[1, 3, 5, 7]"	"[1, 2, 5, 7]"
3	"barcode_external03_internal02"	"[3, 5, 6, 7]"	"[2, 3, 4, 8]"	"[1, 3, 4, 6]"	"[2, 3, 7, 8]"	"[1, 4, 6, 8]"	"[3, 5, 6, 8]"	"[2, 5, 6, 8]"	"[2, 3, 5, 8]"
3	"barcode_external04_internal02"	"[1, 2, 5, 8]"	"[2, 3, 4, 7]"	"[1, 2, 6, 7]"	"[2, 4, 5, 7]"	"[1, 3, 6, 7]"	"[1, 2, 3, 8]"	"[2, 5, 7, 8]"	"[1, 4, 6, 7]"
3	"barcode_external05_internal02"	"[2, 3, 4, 5]"	"[2, 5, 7, 8]"	"[3, 4, 5, 6]"	"[1, 3, 4, 8]"	"[3, 4, 6, 7]"	"[1, 3, 4, 8]"	"[1, 4, 5, 8]"	"[2, 3, 4, 7]"
3	"barcode_external06_internal02"	"[1, 5, 7, 8]"	"[3, 4, 5, 8]"	"[2, 4, 5, 8]"	"[1, 3, 4, 5]"	"[4, 6, 7, 8]"	"[4, 5, 6, 7]"	"[1, 2, 4, 7]"	"[2, 4, 5, 7]"
3	"barcode_external07_internal02"	"[3, 5, 7, 8]"	"[1, 2, 3, 7]"	"[3, 4, 6, 8]"	"[1, 2, 7, 8]"	"[1, 3, 6, 7]"	"[1, 4, 5, 7]"	"[1, 5, 6, 8]"	"[4, 5, 6, 7]"
3	"barcode_external08_internal02"	"[3, 4, 7, 8]"	"[1, 2, 4, 8]"	"[1, 5, 6, 7]"	"[2, 4, 6, 7]"	"[2, 3, 5, 6]"	"[4, 5, 7, 8]"	"[1, 6, 7, 8]"	"[4, 5, 6, 8]"
3	"barcode_external01_internal03"	"[1, 6, 7, 8]"	"[1, 5, 6, 7]"	"[1, 2, 4, 7]"	"[3, 5, 6, 7]"	"[1, 3, 6, 7]"	"[2, 5, 6, 7]"	"[4, 5, 6, 8]"	"[2, 6, 7, 8]"
3	"barcode_external02_internal03"	"[1, 3, 7, 8]"	"[2, 5, 7, 8]"	"[1, 4, 7, 8]"	"[1, 2, 4, 6]"	"[3, 4, 6, 7]"	"[1, 5, 7, 8]"	"[2, 4, 5, 7]"	"[2, 3, 5, 7]"
3	"barcode_external03_internal03"	"[2, 4, 5, 8]"	"[1, 2, 5, 7]"	"[1, 3, 4, 5]"	"[4, 5, 7, 8]"	"[1, 2, 4, 6]"	"[1, 2, 7, 8]"	"[2, 3, 6, 8]"	"[2, 4, 6, 7]"
3	"barcode_external04_internal03"	"[1, 4, 6, 8]"	"[2, 3, 4, 7]"	"[2, 4, 5, 7]"	"[2, 5, 6, 7]"	"[3, 6, 7, 8]"	"[4, 5, 6, 8]"	"[1, 2, 3, 4]"	"[2, 4, 5, 7]"
3	"barcode_external05_internal03"	"[1, 6, 7, 8]"	"[2, 4, 5, 8]"	"[1, 4, 6, 8]"	"[1, 2, 5, 7]"	"[3, 4, 6, 8]"	"[4, 5, 7, 8]"	"[1, 3, 6, 7]"	"[1, 4, 7, 8]"
3	"barcode_external06_internal03"	"[1, 3, 6, 8]"	"[3, 4, 5, 6]"	"[2, 3, 5, 7]"	"[4, 6, 7, 8]"	"[4, 5, 6, 7]"	"[1, 3, 5, 6]"	"[3, 4, 5, 8]"	"[2, 3, 4, 5]"
3	"barcode_external07_internal03"	"[1, 5, 7, 8]"	"[2, 3, 6, 8]"	"[1, 4, 7, 8]"	"[1, 3, 5, 7]"	"[3, 5, 6, 7]"	"[2, 3, 5, 7]"	"[1, 2, 4, 6]"	"[2, 5, 7, 8]"
3	"barcode_external08_internal03"	"[4, 5, 6, 7]"	"[1, 3, 7, 8]"	"[1, 5, 7, 8]"	"[3, 4, 5, 7]"	"[2, 3, 5, 7]"	"[3, 4, 6, 8]"	"[2, 3, 6, 8]"	"[2, 4, 5, 6]"
